No,Product Type,Keywords,PRD Template,Recommended Depth,Sections Order,Primary Personas,Metric Focus,Key Considerations,Common Out-of-Scope Mistakes
1,SaaS B2B (General),"saas, b2b, cloud, subscription, platform, software, general",full-feature-prd,Medium (4-8 pages),"Overview > Problem > Personas > Goals & Metrics > User Stories > Functional Req > Non-Functional Req > Design > Technical > Out of Scope > Launch","Admin User, End User, IT Buyer","Activation rate, MRR expansion, churn rate, NPS","Balance feature richness with simplicity. CTAs must show ROI. Always include admin controls.","Mobile app (unless specified), SSO setup, custom integrations"
2,Micro SaaS / Indie,"micro, indie, solo, niche, small, startup, bootstrapped",one-pager-prd,Short (1-3 pages),"Problem > Solution > User Stories > Key Metrics > Out of Scope","Solo User, Power User","MRR, activation, weekly active users","Speed and simplicity first. One job done extremely well. Avoid enterprise bloat.","Enterprise SSO, team collaboration, audit logs, multi-tenant isolation"
3,Enterprise SaaS,"enterprise, large, corporate, org, compliance, soc2, saml, sso",full-feature-prd,Long (8-15 pages),"Overview > Problem > Personas > Stakeholder Map > Goals > Requirements > Security > Compliance > Design > Technical > Dependencies > Launch > Rollback","Champion, Economic Buyer, End User, IT Admin, Security Team","ARR, NPS, renewal rate, enterprise adoption, support ticket volume","Security and compliance are table stakes. SAML/SSO required. Audit logs required. Change management is a feature.","Consumer-facing features, freemium tier, self-serve onboarding details"
4,Developer Platform / API,"api, developer, platform, sdk, integration, cli, webhook, oauth",api-integration-prd,Medium (4-8 pages),"Problem > Developer Personas > Use Cases > API Spec > Error Handling > Rate Limits > Authentication > SDK > Docs > Launch","Developer, Tech Lead, DevOps, Integration Engineer","API adoption, time-to-first-call, error rate, SDK downloads, developer NPS","Docs are the product. Error messages must be actionable. SDKs reduce friction. Versioning and deprecation matter.","Admin UI for API users, non-developer persona requirements"
5,PLG SaaS (Product-Led Growth),"plg, product-led, freemium, self-serve, viral, free trial, signup, onboarding",full-feature-prd,Medium (4-8 pages),"Problem > User Journey > Activation Moment > User Stories > Virality Hooks > Upgrade Triggers > Metrics > Out of Scope","Free User, Converted User, Power User, Invitee","Time-to-value, activation rate, free-to-paid conversion, viral coefficient, feature adoption","The product IS the sales funnel. Identify the activation moment early. Friction at signup kills everything. Build upgrade nudges contextually.","Enterprise-only features, manual sales process, high-touch onboarding"
6,AI / ML SaaS,"ai, ml, machine learning, artificial intelligence, llm, gpt, model, prediction, automation, recommendation",ai-feature-prd,Medium (4-8 pages),"Problem > AI Use Case > User Intent > Model Behavior > Acceptance Criteria > Edge Cases > Fallback > Guardrails > Metrics > Out of Scope","AI Consumer User, Admin, Model Reviewer","Task completion rate, accuracy/quality score, latency, user override rate, trust score","Define desired outcomes not model internals. Always specify fallback when confidence is low. Users need to understand AI decisions. Privacy and data usage must be explicit.","Model training details, specific ML architecture, internal tooling for model ops"
7,Marketplace SaaS,"marketplace, two-sided, buyer, seller, vendor, network, listing, transaction",full-feature-prd,Medium (5-9 pages),"Problem > Two-Sided Personas > Supply vs Demand Balance > Transaction Flow > Trust & Safety > Metrics > Out of Scope","Buyer, Seller/Vendor, Marketplace Admin","GMV, take rate, supply-demand ratio, listing quality, trust score, repeat transaction rate","Solve both sides simultaneously. Trust and safety are table stakes. Network effects define value. Cold start problem must be addressed.","Payment processing internals, tax compliance details, international expansion specifics"
8,Vertical SaaS - Healthcare,"healthcare, medical, clinic, patient, ehr, hipaa, telemedicine, pharma",full-feature-prd,Long (8-15 pages),"Problem > Regulatory Context > Personas > Workflows > Compliance > Requirements > Privacy > Design > Technical > Launch","Clinician, Patient, Admin, Billing Staff, Compliance Officer","Patient outcomes, clinical workflow efficiency, HIPAA compliance rate, time savings per encounter","HIPAA compliance is non-negotiable. Workflow must mirror clinical reality. Avoid disrupting existing EHR workflows unless explicitly replacing them.","Medical device certification, FDA clearance requirements, payer integration"
9,Vertical SaaS - Fintech,"fintech, financial, banking, payment, lending, compliance, kyc, aml, pci",full-feature-prd,Long (8-15 pages),"Problem > Regulatory Context > Personas > Compliance Requirements > User Stories > Security > Technical > Audit > Launch","Consumer, Business Owner, Compliance Officer, Finance Manager","Transaction success rate, fraud rate, time-to-approval, compliance pass rate, AUM/TPV","Regulatory compliance shapes every decision. Security and fraud prevention are mandatory. Audit trails required. Performance under high transaction load is critical.","Core banking integration details, specific regulatory filings, multi-jurisdiction rollout"
10,Vertical SaaS - EdTech,"edtech, education, learning, lms, course, student, instructor, school",full-feature-prd,Medium (4-8 pages),"Problem > Learner Personas > Learning Goals > Engagement Design > Requirements > Metrics > Content Strategy > Launch","Student/Learner, Instructor, L&D Admin, Institution Admin","Course completion rate, assessment scores, engagement rate, time-in-product, certification achieved","Engagement and completion are the core metrics. Accessibility (WCAG) is critical. Content formats must support diverse learning styles. Progress tracking motivates behavior.","Curriculum authoring details, content licensing, third-party integrations outside scope"
11,Vertical SaaS - HR / People,"hr, human resources, people, payroll, hiring, ats, onboarding, performance, engagement",full-feature-prd,Medium (4-8 pages),"Problem > HR Personas > Employee Journey > Workflow > Compliance > Requirements > Design > Launch","HR Admin, Manager, Employee, Recruiter, Payroll Specialist","Time-to-hire, employee NPS (eNPS), payroll accuracy rate, onboarding completion rate","Employee data is sensitive — privacy and role-based access are mandatory. Workflows must align to HR calendar (payroll cycles, review periods). Compliance by region matters.","Payroll tax calculation internals, benefits carrier integrations, jurisdiction-specific rules"
12,Data / Analytics Platform,"data, analytics, bi, business intelligence, reporting, dashboard, warehouse, pipeline","full-feature-prd",Medium (5-9 pages),"Problem > Data Consumer Personas > Key Questions to Answer > Data Model > Visualization > Performance > Access Control > Out of Scope","Analyst, Data Engineer, Business Stakeholder, Executive","Dashboard adoption rate, query performance (p95), data freshness, self-serve rate, time-to-insight","Answer specific business questions, not just display data. Performance at scale is a feature. Self-serve lowers data team burden. Guardrail: data accuracy must not regress.","ETL pipeline engineering, data warehouse architecture, real-time streaming (unless specified)"
13,Internal Tools / Admin,"internal, admin, ops, back-office, tooling, dashboard, workflow",one-pager-prd,Short (1-3 pages),"Problem > Internal User Personas > Key Workflows > Requirements > Access Control > Out of Scope","Operations Staff, Customer Support, Finance, Engineering","Task completion time, error rate, manual work eliminated, support resolution time","Speed over aesthetics. Solve the exact workflow problem. Audit trail and access control are usually required. Avoid over-engineering.","Customer-facing changes, API endpoints for external use, high availability SLA"
